Reference, Value, Footprint,Price,,Link
U3,RN2903-I/RM095,RN2903-I_RM095:XCVR_RN2903-I%2fRM095,14.7,,http://www.digikey.com/products/en?mpart=RN2903-I%2FRM095&v=150
U2,ATmega32U4-AU,Housings_QFP:TQFP-44_10x10mm_Pitch0.8mm,6.32,,http://www.digikey.com/product-detail/en/atmel/ATMEGA32U4RC-AU/ATMEGA32U4RC-AU-ND/2507982
U1,FGPMMOPA6H,FGPMMOPA6H:FGPMMOPA6H,11.8,,https://www.aliexpress.com/store/product/MTK3339-ultra-small-GPS-Module-with-Dual-Antenna-FGPMMOPA6C-PA6C/605000_531702544.html
P1,USB_OTG,Connect:USB_Mini-B,0.6,,http://www.digikey.com/product-detail/en/edac-inc/690-005-299-043/151-1206-1-ND/4312192
R1,22,Resistors_SMD:R_0603_HandSoldering,0.1,,http://www.digikey.com/product-detail/en/yageo/RC0603JR-0722RL/311-22GRCT-ND/729690
R2,22,Resistors_SMD:R_0603_HandSoldering,0.1,,http://www.digikey.com/product-detail/en/yageo/RC0603JR-0722RL/311-22GRCT-ND/729690
U4,SPX3819,adafruit:adafruit-SOT23-5L,0.72,,http://www.digikey.com/product-detail/en/exar-corporation/SPX3819M5-L-3-3-TR/1016-1873-1-ND/3586590
R3,100k,Resistors_SMD:R_0603_HandSoldering,0.1,,http://www.digikey.com/product-detail/en/yageo/RC0603JR-07100KL/311-100KGRCT-ND/729645
C1,10uF,Capacitors_SMD:C_0603_HandSoldering,0.15,,http://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R60J106ME47D/490-3896-1-ND/965938
C2,10uF,Capacitors_SMD:C_0603_HandSoldering,0.15,,http://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R60J106ME47D/490-3896-1-ND/965938
C3,1uF,Capacitors_SMD:C_0603_HandSoldering,0.1,,http://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R61C105KA93D/490-1536-1-ND/587769
D1,DIODESCH,Diodes_SMD:D_0805,0.47,,http://www.digikey.com/product-detail/en/on-semiconductor/MBR120VLSFT1G/MBR120VLSFT1GOSCT-ND/893874
CN1,JST_2PIN-SMT,adafruit:adafruit-JST-PH-2-SMT,0.55,,http://www.digikey.com/product-detail/en/jst-sales-america-inc/B2B-PH-SM4-TB(LF)(SN)/455-1734-1-ND/926831
C4,1uF,Capacitors_SMD:C_0603_HandSoldering,0.1,,http://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R61C105KA93D/490-1536-1-ND/587769
SW1,SPST,open-project:SW_PUSH_SMD,2.43,,http://www.digikey.com/product-detail/en/rafi-usa/1.14100.5030000/1715-1676-1-ND/583462
U5,MCP73831,arthurc:SOT23-5,0.58,,http://www.digikey.com/product-detail/en/microchip-technology/MCP73831T-2DCI-OT/MCP73831T-2DCI-OTCT-ND/1979804
D2,LED-BAT,Diodes_SMD:D_0805,0.26,,http://www.digikey.com/product-detail/en/osram-opto-semiconductors-inc/LH-R974-LP-1/475-1415-1-ND/1802604
R4,1k,Resistors_SMD:R_0603_HandSoldering,0.1,,http://www.digikey.com/product-detail/en/yageo/RC0603JR-071KL/311-1.0KGRCT-ND/729624
R5,10k,Resistors_SMD:R_0603_HandSoldering,0.1,,http://www.digikey.com/product-detail/en/yageo/RC0603JR-0710KL/311-10KGRCT-ND/729647
C5,10uF,Capacitors_SMD:C_0603_HandSoldering,0.15,,http://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R60J106ME47D/490-3896-1-ND/965938
R6,100k,Resistors_SMD:R_0603_HandSoldering,0.1,,http://www.digikey.com/product-detail/en/yageo/RC0603JR-07100KL/311-100KGRCT-ND/729645
R7,100k,Resistors_SMD:R_0603_HandSoldering,0.1,,http://www.digikey.com/product-detail/en/yageo/RC0603JR-07100KL/311-100KGRCT-ND/729645
C6,10uF,Capacitors_SMD:C_0603_HandSoldering,0.15,,http://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R60J106ME47D/490-3896-1-ND/965938
JP3,PINHD-1X12,adafruit:adafruit-1X12,0.73,,http://www.digikey.com/product-detail/en/3m/951112-8622-AR/3M9330-ND/1959058
JP1,CONN_01X16,Pin_Headers:Pin_Header_Straight_1x16,0.76,,http://www.digikey.com/product-detail/en/amphenol-fci/68002-116HLF/609-3295-ND/1878570
JP2,PINHD-1X6,adafruit:adafruit-1X06,,,
ANT1,CON-SMA,misc:CON-SMA-EDGE,2.98,,http://www.digikey.com/product-detail/en/taoglas-limited/EMPCB.SMAFSTJ.C.HT/931-1174-ND/3522338
D3,LED-RED,Diodes_SMD:D_0805,0.26,,
R8,1k,Resistors_SMD:R_0603_HandSoldering,0.1,,http://www.digikey.com/product-detail/en/yageo/RC0603JR-071KL/311-1.0KGRCT-ND/729624
D4,LED-POW,Diodes_SMD:D_0805,0.26,,
R9,1k,Resistors_SMD:R_0603_HandSoldering,0.1,,http://www.digikey.com/product-detail/en/yageo/RC0603JR-071KL/311-1.0KGRCT-ND/729624
,,,,,
PCB,,,7.4,,
,,,,,
,,,,,
,,,52.52,,
